id,condition,perceived_alt,actC_avg_m_alt,actC_avg_p_alt,actC_avg_a_alt,actMO_avg_m_alt,actMO_avg_s_alt,actMO_avg_e_alt,actMO_avg_o_alt,perceived_self,actC_avg_m_self,actC_avg_p_self,actC_avg_a_self,actMO_avg_m_self,actMO_avg_s_self,actMO_avg_e_self,actMO_avg_o_self,rt,alt_comp_e,alt_comp_m,alt_comp_o,alt_comp_s,alt_comp
1,2,5,4.8,5.4,4.8,4.333333333,4.333333333,4.166666667,8,4,4.2,3.8,4,5.666666667,7,2.5,2.333333333,6.446,0.833333333,-0.666666667,2.833333333,-1.333333333,0.5
2,1,5.083333333,4.625,5,5.625,,,,,5.166666667,4.875,5,5.625,,,,,1.197875,,,,,-0.041666667
3,3,9.875,9.875,9.75,10,9.5,10,10,10,0.083333333,0.125,0.125,0,0.333333333,0,0,0,6.2625,5,4.583333333,5,5,4.895833333
4,3,6.583333333,6.75,6.25,6.75,6.166666667,6.166666667,7.666666667,6.333333333,4.375,4.25,4.75,4.125,4.833333333,5,2.833333333,4.833333333,11.9035,2.416666667,0.666666667,0.75,0.583333333,1.104166667
5,2,7.125,7.25,7,7.125,6,7.833333333,8.166666667,6.5,2.5,2.25,2.375,2.875,4.833333333,2,0.5,2.666666667,5.235,3.833333333,0.583333333,1.916666667,2.916666667,2.3125
6,3,6.291666667,5.75,6.25,6.875,5.833333333,6.166666667,5.666666667,7.5,0.458333333,0.625,0.375,0.375,0.666666667,0,1.166666667,0,7.08925,2.25,2.583333333,3.75,3.083333333,2.916666667
7,2,7.916666667,7.75,7.875,8.125,6.833333333,4.833333333,10,10,3.833333333,4.375,3.625,3.5,7.166666667,6.5,0,1.666666667,9.14475,5,-0.166666667,4.166666667,-0.833333333,2.041666667
8,1,6.708333333,7.25,6.125,6.75,,,,,5.708333333,5.5,5.625,6,,,,,1.234875,,,,,0.5
9,2,3.083333333,3.125,2.875,3.25,0.833333333,0,3.833333333,7.666666667,4.291666667,3.625,5,4.25,6.666666667,8.333333333,2,0.166666667,7.50275,0.916666667,-2.916666667,3.75,-4.166666667,-0.604166667
10,2,4.958333333,4.5,5.125,5.25,4.333333333,0,8.166666667,7.333333333,3.333333333,3.75,3.125,3.125,3.333333333,7.666666667,0.166666667,2.166666667,18.511,4,0.5,2.583333333,-3.833333333,0.8125
11,1,4.541666667,3.875,5.5,4.25,,,,,4.166666667,3.5,4.75,4.25,,,,,4.391875,,,,,0.1875
12,1,8.541666667,8.125,9.5,8,,,,,0.708333333,0.125,1.75,0.25,,,,,4.78525,,,,,3.916666667
13,3,8.875,8.5,8.5,9.625,9.333333333,8,9,9.166666667,1.125,1.375,1.875,0.125,1,1.5,1,1,7.33,4,4.166666667,4.083333333,3.25,3.875
14,3,7.25,7,7,7.75,6.833333333,7.333333333,7.333333333,7.5,5.833333333,6.125,5.625,5.75,6.5,5.666666667,5.333333333,5.833333333,3.725375,1,0.166666667,0.833333333,0.833333333,0.708333333
15,2,5,5,5,5,0,0,10,10,3.541666667,3.5,3.875,3.25,8,6.166666667,0,0,9.002875,5,-4,5,-3.083333333,0.729166667
16,2,3.083333333,3.125,3.125,3,1.333333333,2,2,7,3.833333333,3.75,3.875,3.875,7.166666667,5.5,1,1.666666667,11.165625,0.5,-2.916666667,2.666666667,-1.75,-0.375
17,2,4.791666667,2.75,4.125,7.5,2.5,3.166666667,4.333333333,9.166666667,4.041666667,5.75,5.375,1,6.5,5.833333333,3.666666667,0.166666667,10.663875,0.333333333,-2,4.5,-1.333333333,0.375
18,3,7.5,7.5,7.25,7.75,8.166666667,7.333333333,8,6.5,1.541666667,1.25,2.25,1.125,1,1.333333333,1.333333333,2.5,6.449125,3.333333333,3.583333333,2,3,2.979166667
19,3,5.916666667,6.125,5.75,5.875,5.833333333,5.666666667,6.166666667,6,0.416666667,0.75,0.375,0.125,0.333333333,0.833333333,0.333333333,0.166666667,11.81275,2.916666667,2.75,2.916666667,2.416666667,2.75
20,1,9.666666667,9.5,9.625,9.875,,,,,0.333333333,0.5,0.375,0.125,,,,,8.027625,,,,,4.666666667
21,1,9.583333333,10,10,8.75,,,,,0.416666667,0,0,1.25,,,,,8.640375,,,,,4.583333333
22,2,5.083333333,5,5.25,5,4.666666667,4.833333333,5.833333333,5,4.291666667,4.125,4.375,4.375,4.666666667,6.666666667,3.333333333,2.5,15.290375,1.25,0,1.25,-0.916666667,0.395833333
23,3,9.541666667,9.75,9.125,9.75,9.666666667,8.833333333,9.833333333,9.833333333,0.25,0.25,0.25,0.25,0.333333333,0.666666667,0,0,9.01175,4.916666667,4.666666667,4.916666667,4.083333333,4.645833333
24,3,9.916666667,9.875,9.875,10,9.666666667,10,10,10,0,0,0,0,0,0,0,0,7.396375,5,4.833333333,5,5,4.958333333
25,2,5.733333333,5.8,5.6,5.8,0,2.333333333,8.333333333,9.666666667,4,4,4.2,3.8,10,8,0.833333333,0.333333333,10.6856,3.75,-5,4.666666667,-2.833333333,0.866666667
26,3,6.583333333,6.75,6.25,6.75,5.5,5.666666667,8,7.166666667,0.625,0.75,0.625,0.5,0.333333333,1.5,0.666666667,0,8.8015,3.666666667,2.583333333,3.583333333,2.083333333,2.979166667
27,2,4.333333333,3.6,4,5.4,2.666666667,3,3.666666667,8.666666667,5.666666667,6.2,6,4.8,7.333333333,7.333333333,6.5,0.666666667,8.4506,-1.416666667,-2.333333333,4,-2.166666667,-0.666666667
28,2,4.458333333,4.375,4.75,4.25,1.5,2.833333333,6.333333333,7.166666667,3.291666667,3.375,3,3.5,5.833333333,6.166666667,0.5,0.666666667,5.684875,2.916666667,-2.166666667,3.25,-1.666666667,0.583333333
29,3,6.875,7.25,5.75,7.625,5.833333333,6.5,7.5,7.666666667,2.25,1,4.5,1.25,2.833333333,2.333333333,1.666666667,2.166666667,8.156375,2.916666667,1.5,2.75,2.083333333,2.3125
30,3,8.708333333,8.5,8.875,8.75,8.333333333,9,9,8.5,1.041666667,1.125,1,1,1,1,1.166666667,1,10.37275,3.916666667,3.666666667,3.75,4,3.833333333
31,1,7.083333333,6.625,7.625,7,,,,,0.583333333,0.125,1.5,0.125,,,,,8.2495,,,,,3.25
32,1,7.041666667,7,7,7.125,,,,,0.458333333,0.125,1.125,0.125,,,,,10.811375,,,,,3.291666667
33,1,4.375,4.25,4.375,4.5,,,,,0.875,0.75,1.25,0.625,,,,,4.540375,,,,,1.75
34,3,6.5,6.25,5.875,7.375,4.833333333,5.833333333,6.833333333,8.5,3.75,3.125,3.5,4.625,6,6.333333333,0.833333333,1.833333333,7.92075,3,-0.583333333,3.333333333,-0.25,1.375
35,3,8.125,8.625,7.375,8.375,7.5,8.833333333,7.5,8.666666667,0.875,0.75,1.75,0.125,0.5,0.5,1.833333333,0.666666667,10.17125,2.833333333,3.5,4,4.166666667,3.625
36,1,2.875,3.625,2.875,2.125,,,,,3.041666667,3.75,2.5,2.875,,,,,20.857125,,,,,-0.083333333
37,1,7.541666667,7.75,6.75,8.125,,,,,1.208333333,1.125,1.75,0.75,,,,,7.180375,,,,,3.166666667
38,3,7.958333333,7.875,7.625,8.375,8.333333333,8,7.833333333,7.666666667,2,1.5,2.375,2.125,1.166666667,2,1.833333333,3,12.097375,3,3.583333333,2.333333333,3,2.979166667
39,3,8.166666667,8.25,8,8.25,7.833333333,8,8,8.833333333,1.583333333,1.5,1.75,1.5,2,2,1.666666667,0.666666667,7.7945,3.166666667,2.916666667,4.083333333,3,3.291666667
40,3,6.875,6.875,7,6.75,7.5,7.166666667,5.166666667,7.666666667,1.208333333,1.5,1,1.125,0.5,2.5,1.666666667,0.166666667,6.299625,1.75,3.5,3.75,2.333333333,2.833333333
41,1,5.875,6.5,5.375,5.75,,,,,0.791666667,0.75,0.75,0.875,,,,,8.59225,,,,,2.541666667
42,1,7.833333333,7.75,7.875,7.875,,,,,0,0,0,0,,,,,11.021625,,,,,3.916666667
43,2,0.125,0.125,0.125,0.125,0,0,0,0.5,3,2.75,3.375,2.875,6,4.5,1,0.5,9.623125,-0.5,-3,0,-2.25,-1.4375
44,2,4.466666667,4.4,4,5,0.333333333,1.666666667,5.833333333,8.666666667,4.866666667,4,6.2,4.4,9,8.333333333,3.166666667,0.666666667,16.0982,1.333333333,-4.333333333,4,-3.333333333,-0.2
45,3,4.541666667,4.75,3.875,5,4.166666667,4.5,5,4.5,0.208333333,0.375,0.125,0.125,0.666666667,0,0,0.166666667,39.5375,2.5,1.75,2.166666667,2.25,2.166666667
46,2,6.458333333,6.25,6.75,6.375,5.333333333,6,7.333333333,7.166666667,1.25,1.375,1.125,1.25,1.166666667,1.5,1.166666667,1.166666667,16.5595,3.083333333,2.083333333,3,2.25,2.604166667
47,3,8.083333333,8.25,7.625,8.375,7.666666667,7.666666667,8.666666667,8.333333333,0.708333333,0.625,1.125,0.375,0.833333333,1.166666667,0.5,0.333333333,10.96325,4.083333333,3.416666667,4,3.25,3.6875
48,2,3.416666667,2,5,3.25,1.833333333,2.333333333,2,7.5,3.75,3.75,5,2.5,6.166666667,4.333333333,2.833333333,1.666666667,16.885125,-0.416666667,-2.166666667,2.916666667,-1,-0.166666667
49,2,3.125,3,2.75,3.625,1,1.333333333,2.833333333,7.333333333,5.041666667,5.5,5.125,4.5,7.833333333,6.666666667,5.666666667,0,11.895,-1.416666667,-3.416666667,3.666666667,-2.666666667,-0.958333333
50,1,5.916666667,6,6.5,5.25,,,,,0.666666667,0.75,0.875,0.375,,,,,7.15325,,,,,2.625
51,1,7.25,8,5.75,8,,,,,1.666666667,0.875,3.5,0.625,,,,,13.5835,,,,,2.791666667
52,3,8.75,8.875,8.625,8.75,10,7.333333333,10,7.666666667,2.166666667,1.625,3.25,1.625,0.166666667,6,1,1.5,12.158125,4.5,4.916666667,3.083333333,0.666666667,3.291666667
53,2,8.133333333,8,7,9.4,6.333333333,5.333333333,9.5,10,3,2.6,4.2,2.2,5.666666667,6.666666667,1.333333333,0,9.6926,4.083333333,0.333333333,5,-0.666666667,2.566666667
54,1,8.166666667,8.25,8,8.25,,,,,0.291666667,0.5,0,0.375,,,,,7.67025,,,,,3.9375
55,1,8.029761905,8,7.375,8.714285714,,,,,1.43452381,1.428571429,2.125,0.75,,,,,5.781,,,,,3.297619048
