id,condition,actC_v1,actC_v1_a,actC_v1_a_Alt,actC_v1_m,actC_v1_m_Alt,actC_v1_p,actC_v1_p_Alt,actC_v1_rt,actC_v2,actC_v2_a,actC_v2_a_Alt,actC_v2_m,actC_v2_m_Alt,actC_v2_p,actC_v2_p_Alt,actC_v2_rt,actC_v3,actC_v3_a,actC_v3_a_Alt,actC_v3_m,actC_v3_m_Alt,actC_v3_p,actC_v3_p_Alt,actC_v3_rt,actC_v4,actC_v4_a,actC_v4_a_Alt,actC_v4_m,actC_v4_m_Alt,actC_v4_p,actC_v4_p_Alt,actC_v4_rt,actC_v5,actC_v5_a,actC_v5_a_Alt,actC_v5_m,actC_v5_m_Alt,actC_v5_p,actC_v5_p_Alt,actC_v5_rt,actC_v6,actC_v6_a,actC_v6_a_Alt,actC_v6_m,actC_v6_m_Alt,actC_v6_p,actC_v6_p_Alt,actC_v6_rt,actC_v7,actC_v7_a,actC_v7_a_Alt,actC_v7_m,actC_v7_m_Alt,actC_v7_p,actC_v7_p_Alt,actC_v7_rt,actC_v8,actC_v8_a,actC_v8_a_Alt,actC_v8_m,actC_v8_m_Alt,actC_v8_p,actC_v8_p_Alt,actC_v8_rt,actM_v1_e,actM_v1_ea,actM_v1_ea_Alt,actM_v1_em,actM_v1_em_Alt,actM_v1_ep,actM_v1_ep_Alt,actM_v1_ert,actM_v1_m,actM_v1_ma,actM_v1_ma_Alt,actM_v1_mm,actM_v1_mm_Alt,actM_v1_mp,actM_v1_mp_Alt,actM_v1_mrt,actM_v1_o,actM_v1_oa,actM_v1_oa_Alt,actM_v1_om,actM_v1_om_Alt,actM_v1_op,actM_v1_op_Alt,actM_v1_ort,actM_v1_s,actM_v1_sa,actM_v1_sa_Alt,actM_v1_sm,actM_v1_sm_Alt,actM_v1_sp,actM_v1_sp_Alt,actM_v1_srt,actM_v2_e,actM_v2_ea,actM_v2_ea_Alt,actM_v2_em,actM_v2_em_Alt,actM_v2_ep,actM_v2_ep_Alt,actM_v2_ert,actM_v2_m,actM_v2_ma,actM_v2_ma_Alt,actM_v2_mm,actM_v2_mm_Alt,actM_v2_mp,actM_v2_mp_Alt,actM_v2_mrt,actM_v2_o,actM_v2_oa,actM_v2_oa_Alt,actM_v2_om,actM_v2_om_Alt,actM_v2_op,actM_v2_op_Alt,actM_v2_ort,actM_v2_s,actM_v2_sa,actM_v2_sa_Alt,actM_v2_sm,actM_v2_sm_Alt,actM_v2_sp,actM_v2_sp_Alt,actM_v2_srt,actM_v3_e,actM_v3_ea,actM_v3_ea_Alt,actM_v3_em,actM_v3_em_Alt,actM_v3_ep,actM_v3_ep_Alt,actM_v3_ert,actM_v3_m,actM_v3_ma,actM_v3_ma_Alt,actM_v3_mm,actM_v3_mm_Alt,actM_v3_mp,actM_v3_mp_Alt,actM_v3_mrt,actM_v3_o,actM_v3_oa,actM_v3_oa_Alt,actM_v3_om,actM_v3_om_Alt,actM_v3_op,actM_v3_op_Alt,actM_v3_ort,actM_v3_s,actM_v3_sa,actM_v3_sa_Alt,actM_v3_sm,actM_v3_sm_Alt,actM_v3_sp,actM_v3_sp_Alt,actM_v3_srt,actM_v4_e,actM_v4_ea,actM_v4_ea_Alt,actM_v4_em,actM_v4_em_Alt,actM_v4_ep,actM_v4_ep_Alt,actM_v4_ert,actM_v4_m,actM_v4_ma,actM_v4_ma_Alt,actM_v4_mm,actM_v4_mm_Alt,actM_v4_mp,actM_v4_mp_Alt,actM_v4_mrt,actM_v4_o,actM_v4_oa,actM_v4_oa_Alt,actM_v4_om,actM_v4_om_Alt,actM_v4_op,actM_v4_op_Alt,actM_v4_ort,actM_v4_s,actM_v4_sa,actM_v4_sa_Alt,actM_v4_sm,actM_v4_sm_Alt,actM_v4_sp,actM_v4_sp_Alt,actM_v4_srt,actM_v5_e,actM_v5_ea,actM_v5_ea_Alt,actM_v5_em,actM_v5_em_Alt,actM_v5_ep,actM_v5_ep_Alt,actM_v5_ert,actM_v5_m,actM_v5_ma,actM_v5_ma_Alt,actM_v5_mm,actM_v5_mm_Alt,actM_v5_mp,actM_v5_mp_Alt,actM_v5_mrt,actM_v5_o,actM_v5_oa,actM_v5_oa_Alt,actM_v5_om,actM_v5_om_Alt,actM_v5_op,actM_v5_op_Alt,actM_v5_ort,actM_v5_s,actM_v5_sa,actM_v5_sa_Alt,actM_v5_sm,actM_v5_sm_Alt,actM_v5_sp,actM_v5_sp_Alt,actM_v5_srt,actM_v6_e,actM_v6_ea,actM_v6_ea_Alt,actM_v6_em,actM_v6_em_Alt,actM_v6_ep,actM_v6_ep_Alt,actM_v6_ert,actM_v6_m,actM_v6_ma,actM_v6_ma_Alt,actM_v6_mm,actM_v6_mm_Alt,actM_v6_mp,actM_v6_mp_Alt,actM_v6_mrt,actM_v6_o,actM_v6_oa,actM_v6_oa_Alt,actM_v6_om,actM_v6_om_Alt,actM_v6_op,actM_v6_op_Alt,actM_v6_ort,actM_v6_s,actM_v6_sa,actM_v6_sa_Alt,actM_v6_sm,actM_v6_sm_Alt,actM_v6_sp,actM_v6_sp_Alt,actM_v6_srt,actM_v7_e,actM_v7_ea,actM_v7_ea_Alt,actM_v7_em,actM_v7_em_Alt,actM_v7_ep,actM_v7_ep_Alt,actM_v7_ert,actM_v7_m,actM_v7_ma,actM_v7_ma_Alt,actM_v7_mm,actM_v7_mm_Alt,actM_v7_mp,actM_v7_mp_Alt,actM_v7_mrt,actM_v7_o,actM_v7_oa,actM_v7_oa_Alt,actM_v7_om,actM_v7_om_Alt,actM_v7_op,actM_v7_op_Alt,actM_v7_ort,actM_v7_s,actM_v7_sa,actM_v7_sa_Alt,actM_v7_sm,actM_v7_sm_Alt,actM_v7_sp,actM_v7_sp_Alt,actM_v7_srt,actM_v8_e,actM_v8_ea,actM_v8_ea_Alt,actM_v8_em,actM_v8_em_Alt,actM_v8_ep,actM_v8_ep_Alt,actM_v8_ert,actM_v8_m,actM_v8_ma,actM_v8_ma_Alt,actM_v8_mm,actM_v8_mm_Alt,actM_v8_mp,actM_v8_mp_Alt,actM_v8_mrt,actM_v8_o,actM_v8_oa,actM_v8_oa_Alt,actM_v8_om,actM_v8_om_Alt,actM_v8_op,actM_v8_op_Alt,actM_v8_ort,actM_v8_s,actM_v8_sa,actM_v8_sa_Alt,actM_v8_sm,actM_v8_sm_Alt,actM_v8_sp,actM_v8_sp_Alt,actM_v8_srt,actO_v1_e,actO_v1_ea,actO_v1_ea_Alt,actO_v1_em,actO_v1_em_Alt,actO_v1_ep,actO_v1_ep_Alt,actO_v1_ert,actO_v1_m,actO_v1_ma,actO_v1_ma_Alt,actO_v1_mm,actO_v1_mm_Alt,actO_v1_mp,actO_v1_mp_Alt,actO_v1_mrt,actO_v1_o,actO_v1_oa,actO_v1_oa_Alt,actO_v1_om,actO_v1_om_Alt,actO_v1_op,actO_v1_op_Alt,actO_v1_ort,actO_v1_s,actO_v1_sa,actO_v1_sa_Alt,actO_v1_sm,actO_v1_sm_Alt,actO_v1_sp,actO_v1_sp_Alt,actO_v1_srt,actO_v2_e,actO_v2_ea,actO_v2_ea_Alt,actO_v2_em,actO_v2_em_Alt,actO_v2_ep,actO_v2_ep_Alt,actO_v2_ert,actO_v2_m,actO_v2_ma,actO_v2_ma_Alt,actO_v2_mm,actO_v2_mm_Alt,actO_v2_mp,actO_v2_mp_Alt,actO_v2_mrt,actO_v2_o,actO_v2_oa,actO_v2_oa_Alt,actO_v2_om,actO_v2_om_Alt,actO_v2_op,actO_v2_op_Alt,actO_v2_ort,actO_v2_s,actO_v2_sa,actO_v2_sa_Alt,actO_v2_sm,actO_v2_sm_Alt,actO_v2_sp,actO_v2_sp_Alt,actO_v2_srt,actO_v3_e,actO_v3_ea,actO_v3_ea_Alt,actO_v3_em,actO_v3_em_Alt,actO_v3_ep,actO_v3_ep_Alt,actO_v3_ert,actO_v3_m,actO_v3_ma,actO_v3_ma_Alt,actO_v3_mm,actO_v3_mm_Alt,actO_v3_mp,actO_v3_mp_Alt,actO_v3_mrt,actO_v3_o,actO_v3_oa,actO_v3_oa_Alt,actO_v3_om,actO_v3_om_Alt,actO_v3_op,actO_v3_op_Alt,actO_v3_ort,actO_v3_s,actO_v3_sa,actO_v3_sa_Alt,actO_v3_sm,actO_v3_sm_Alt,actO_v3_sp,actO_v3_sp_Alt,actO_v3_srt,actO_v4_e,actO_v4_ea,actO_v4_ea_Alt,actO_v4_em,actO_v4_em_Alt,actO_v4_ep,actO_v4_ep_Alt,actO_v4_ert,actO_v4_m,actO_v4_ma,actO_v4_ma_Alt,actO_v4_mm,actO_v4_mm_Alt,actO_v4_mp,actO_v4_mp_Alt,actO_v4_mrt,actO_v4_o,actO_v4_oa,actO_v4_oa_Alt,actO_v4_om,actO_v4_om_Alt,actO_v4_op,actO_v4_op_Alt,actO_v4_ort,actO_v4_s,actO_v4_sa,actO_v4_sa_Alt,actO_v4_sm,actO_v4_sm_Alt,actO_v4_sp,actO_v4_sp_Alt,actO_v4_srt,actO_v5_e,actO_v5_ea,actO_v5_ea_Alt,actO_v5_em,actO_v5_em_Alt,actO_v5_ep,actO_v5_ep_Alt,actO_v5_ert,actO_v5_m,actO_v5_ma,actO_v5_ma_Alt,actO_v5_mm,actO_v5_mm_Alt,actO_v5_mp,actO_v5_mp_Alt,actO_v5_mrt,actO_v5_o,actO_v5_oa,actO_v5_oa_Alt,actO_v5_om,actO_v5_om_Alt,actO_v5_op,actO_v5_op_Alt,actO_v5_ort,actO_v5_s,actO_v5_sa,actO_v5_sa_Alt,actO_v5_sm,actO_v5_sm_Alt,actO_v5_sp,actO_v5_sp_Alt,actO_v5_srt,actO_v6_e,actO_v6_ea,actO_v6_ea_Alt,actO_v6_em,actO_v6_em_Alt,actO_v6_ep,actO_v6_ep_Alt,actO_v6_ert,actO_v6_m,actO_v6_ma,actO_v6_ma_Alt,actO_v6_mm,actO_v6_mm_Alt,actO_v6_mp,actO_v6_mp_Alt,actO_v6_mrt,actO_v6_o,actO_v6_oa,actO_v6_oa_Alt,actO_v6_om,actO_v6_om_Alt,actO_v6_op,actO_v6_op_Alt,actO_v6_ort,actO_v6_s,actO_v6_sa,actO_v6_sa_Alt,actO_v6_sm,actO_v6_sm_Alt,actO_v6_sp,actO_v6_sp_Alt,actO_v6_srt,actO_v7_e,actO_v7_ea,actO_v7_ea_Alt,actO_v7_em,actO_v7_em_Alt,actO_v7_ep,actO_v7_ep_Alt,actO_v7_ert,actO_v7_m,actO_v7_ma,actO_v7_ma_Alt,actO_v7_mm,actO_v7_mm_Alt,actO_v7_mp,actO_v7_mp_Alt,actO_v7_mrt,actO_v7_o,actO_v7_oa,actO_v7_oa_Alt,actO_v7_om,actO_v7_om_Alt,actO_v7_op,actO_v7_op_Alt,actO_v7_ort,actO_v7_s,actO_v7_sa,actO_v7_sa_Alt,actO_v7_sm,actO_v7_sm_Alt,actO_v7_sp,actO_v7_sp_Alt,actO_v7_srt,actO_v8_e,actO_v8_ea,actO_v8_ea_Alt,actO_v8_em,actO_v8_em_Alt,actO_v8_ep,actO_v8_ep_Alt,actO_v8_ert,actO_v8_m,actO_v8_ma,actO_v8_ma_Alt,actO_v8_mm,actO_v8_mm_Alt,actO_v8_mp,actO_v8_mp_Alt,actO_v8_mrt,actO_v8_o,actO_v8_oa,actO_v8_oa_Alt,actO_v8_om,actO_v8_om_Alt,actO_v8_op,actO_v8_op_Alt,actO_v8_ort,actO_v8_s,actO_v8_sa,actO_v8_sa_Alt,actO_v8_sm,actO_v8_sm_Alt,actO_v8_sp,actO_v8_sp_Alt,actO_v8_srt,actN_v1,actN_v1_a,actN_v1_a_Alt,actN_v1_m,actN_v1_m_Alt,actN_v1_p,actN_v1_p_Alt,actN_v1_rt,actN_v2,actN_v2_a,actN_v2_a_Alt,actN_v2_m,actN_v2_m_Alt,actN_v2_p,actN_v2_p_Alt,actN_v2_rt,actN_v3,actN_v3_a,actN_v3_a_Alt,actN_v3_m,actN_v3_m_Alt,actN_v3_p,actN_v3_p_Alt,actN_v3_rt,actN_v4,actN_v4_a,actN_v4_a_Alt,actN_v4_m,actN_v4_m_Alt,actN_v4_p,actN_v4_p_Alt,actN_v4_rt,actN_v5,actN_v5_a,actN_v5_a_Alt,actN_v5_m,actN_v5_m_Alt,actN_v5_p,actN_v5_p_Alt,actN_v5_rt,actN_v6,actN_v6_a,actN_v6_a_Alt,actN_v6_m,actN_v6_m_Alt,actN_v6_p,actN_v6_p_Alt,actN_v6_rt,actN_v7,actN_v7_a,actN_v7_a_Alt,actN_v7_m,actN_v7_m_Alt,actN_v7_p,actN_v7_p_Alt,actN_v7_rt,actN_v8,actN_v8_a,actN_v8_a_Alt,actN_v8_m,actN_v8_m_Alt,actN_v8_p,actN_v8_p_Alt,actN_v8_rt
1,1,1,1,3,1,3,1,2,5.492,1,1,2,1,2,1,3,5.502,1,1,2,1,3,1,2,6.184,1,1,2,1,0,1,0,4.393,1,1,2,1,3,1,2,9.46,1,1,2,1,2,1,2,2.319,1,1,1,1,1,1,2,24.033,1,1,3,1,4,1,3,4.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,5,1,5,1,2,4.657,1,1,5,1,5,1,3,4.642,1,1,2,1,0,1,1,3.157,1,1,5,1,5,1,5,4.764,1,1,0,1,0,1,0,5.541,1,1,3,1,1,1,2,4.84,1,1,5,1,5,1,2,2.24,1,1,5,1,0,1,2,3.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,4,1,3,44.813,1,1,5,1,-5,1,-5,5.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,2,1,2,15.391,,,,,,,,,,,,,,,,,1,1,5,1,-5,1,-5,5.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,5,1,5,17.599,,,,,,,,,,,,,,,,,1,1,5,1,-5,1,-5,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,-5,1,-5,8.012,1,1,5,1,-5,1,-5,5.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,5,1,5,8.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,5,1,5,3.6,,,,,,,,,,,,,,,,,1,1,-3,1,-3,1,-2,9.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-2,1,-2,1,-2,5.564,,,,,,,,,,,,,,,,,1,1,5,1,5,1,5,32.667,,,,,,,,,,,,,,,,,1,1,-3,1,-3,1,-3,31.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-4,1,-4,1,-4,3.119,1,1,5,1,5,1,5,5.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,1,2,1,2,1,1,5.793,1,1,5,1,1,1,2,4.996,1,1,4,1,3,1,3,21.097,1,1,2,1,2,1,2,4.442,1,1,5,1,5,1,5,14.382,1,1,3,1,2,1,3,1.775,1,1,5,1,4,1,4,2.836,1,1,2,1,3,1,3,2.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,4,1,3,7.717,1,1,3,1,0,1,1,5.235,1,1,4,1,4,1,3,6.773,1,1,4,1,4,1,2,11.814,1,1,0,1,0,1,0,9.737,1,1,-1,1,-1,1,1,4.159,1,1,0,1,0,1,1,5.057,1,1,0,1,0,1,0,4.09
7,1,1,1,3,1,3,1,2,3.568,1,1,2,1,2,1,1,1.275,1,1,2,1,2,1,3,3.754,1,1,2,1,2,1,2,4.333,1,1,1,1,1,1,1,1.645,1,1,2,1,2,1,2,2.006,1,1,2,1,2,1,2,1.558,1,1,2,1,1,1,2,8.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-5,1,-5,1,0,8.702,1,1,0,1,0,1,0,8.081,1,1,0,1,0,1,0,8.876,1,1,0,1,0,1,0,15.527,1,1,-5,1,-5,1,0,7.021,1,1,0,1,0,1,0,8.554,1,1,-5,1,-5,1,0,2.493,1,1,-5,1,-5,1,0,3.91
9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,2,1,3,66.341,1,1,3,1,3,1,2,5.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,1,2,65.404,,,,,,,,,,,,,,,,,1,1,2,1,1,1,2,4.357,,,,,,,,,,,,,,,,,1,1,2,1,2,1,2,15.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,1,2,3.794,,,,,,,,,,,,,,,,,1,1,2,1,2,1,2,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,1,1,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,12.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-2,1,-2,1,-3,11.377,1,1,2,1,3,1,3,15.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,5,1,4,10.522,,,,,,,,,,,,,,,,,1,1,-5,1,-5,1,-4,12.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-3,1,-3,1,-4,11.688,1,1,3,1,1,1,2,9.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,5,1,5,10.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
